Advanced Research Projects Agency-Energy,ARPA-E
Advanced Scientific Computing Research,ASCR
Basic Energy Sciences,BES
Biological and Environmental Research,BER
Cybersecurity and Infrastructure Security Agency,CISA
Defense Advanced Research Projects Agency,DARPA
Department of Homeland Security,DHS
Department of Defense,DOD
Department of Energy,DOE
Department of Labor,DOL
Department of Transportation,DOT
Environmental Protection Agency,EPA
Federal Emergency Management Agency,FEMA
Fusion Energy Sciences,FES
Grid Deployment Office,GDO
International Atomic Energy Agency,IAEA
Intelligence Advanced Research Projects Activity,IARPA
Laboratory Directed Research and Development,LDRD
National Aeronautics and Space Administration,NASA
National Geospatial-Intelligence Agency,NGA
National Nuclear Security Administration,NNSA
National Oceanic and Atmospheric Administration,NOAA
National Science Foundation,NSF
Nuclear Energy Advanced Modeling and Simulation,NEAMS
Nuclear Regulatory Commission,NRC
Oak Ridge National Laboratory,ORNL
Office of Electricity,DOE-OE
Office of Energy Efficiency and Renewable Energy,DOE-EERE
Office of Intelligence and Counterintelligence,DOE-IN
Office of Nuclear Energy,DOE-NE
Office of Personnel Management,DOE-OPM
Office of Science,DOE-SC
Office of Scienctific and Technical Information,DOE-OSTI
Office of Technology Transitions,DOE-OTT
Scientific Discovery through Advanced Computing,SciDAC
United States Army Corps of Engineers,USACE
United States Geological Survey,USGS
Workforce Development for Teachers and Scientists,WDTS
