Accessible Content Optimization for Research Needs,ACORN
Advanced Micro Devices,AMD
AOCL
Advanced Scientific Computing Research,ASCR
Basic Linear Algebra Subprograms,BLAS
Building Damage Indicators,BDI
Center for Alternate Synchronization and Timing,CAST
CBI
Computer Processing Unit,CPU
Environment for the Analysis of Geo Located Energy Information,EAGLE-I
Energy Dispersive X-ray Spectroscopy,EDS
Findable Accessible Interoperable and Reusable,FAIR
Global Evaluation Analysis Research and Security,GEARS
Geographic Information System,GIS
Global Positioning System,GPS
Graphics Processing Unit,GPU
Grid Resilience Investment Decision-making,GRID
High Performance Computing,HPC
Hewlett Packard Enterprise,HPE
Heating Ventilation and Air Conditioning,HVAC
International Business Machines,IBM
In-Pile Steady State Extreme Temperature,INSET
Iodine Off-gas Testing and Abatement,IOTA
Internet Protocol,IP
Integrated Research Infrastructure,IRI
In Support Of,ISO
Julia for ACCelerators,JACC
Large Language Model,LLM
LIDAR,Light Detection and Ranging
Laser-Induced Breakdown Spectroscopy,LIBS
Low Level Virtual Machine,LLVM
Multi-Dimensional Normalization,MDNorm
Math Kernel Library,MKL
Message Passing Interface,MPI
Magnetic Resonance Imaging,MRI
National Energy Research Scientific Computing Center,NERSC
Nitric Oxide and Nitrogen Dioxide,NOx
Oak Ridge Leadership Computing Facility,OLCF
Parallel Integration and Processing Engine,PIPE
Point of Interest,POI
RAJA
Radiochemical Engineering Development Center,REDC
Situational Awareness of Network System Roles,SANSR
Scanning Electron Microscopy,SEM
Spallation Neutron Source,SNS
STAR
Technical Assistant for States and Tribes Initiative,TASTI
Transport Security and Analysis,TSEA
Unmanned Aerial System,UAS
United States of America,USA
VHSIC,Very High Speed Integrated Circuit
Extreme-Scale Experiment-in-the-Loop,XLOOP
X-ray Photoelectron Spectroscopy,XPS
