Advanced Research Projects Agency-Energy,ARPA-E,03q1rgc19
Advanced Scientific Computing Research,ASCR,0012c7r22
Basic Energy Sciences,BES,05mg91w61
Biological and Environmental Research,BER,0114b2m14
Cybersecurity and Infrastructure Security Agency,CISA,---
Cybersecurity Energy Security and Emergency Response,CESER,041g4v832
Defense Advanced Research Projects Agency,DARPA,02caytj08
Defense Threat Reduction Agency,DTRA,04tz64554
Department of Homeland Security,DHS,00jyr0d86
Department of Defense,DOD,0447fe631
Department of Energy,DOE,01bj3aw27
Department of Labor,DOL,05mbkbj54
Department of Transportation,DOT,02xfw2e90
Environmental Protection Agency,EPA,03tns0030
Federal Emergency Management Agency,FEMA,01g9x3v85
Fusion Energy Sciences,FES,02n3j8t12
Grid Deployment Office,GDO,00n4kg172
International Atomic Energy Agency,IAEA,00gtfax65
Intelligence Advanced Research Projects Activity,IARPA,---
Laboratory Directed Research and Development,LDRD,---
National Aeronautics and Space Administration,NASA,027ka1x80
National Geospatial-Intelligence Agency,NGA,02k4pxv54
National Nuclear Security Administration,NNSA,03sk1we31
National Oceanic and Atmospheric Administration,NOAA,02z5nhe81
National Science Foundation,NSF,021nxhr62
Nuclear Energy Advanced Modeling and Simulation,NEAMS,---
Nuclear Regulatory Commission,NRC,03nhmbj89
Oak Ridge National Laboratory,ORNL,01qz5mb56
Office of Electricity,DOE-OE,02y6dp041
Office of Energy Efficiency and Renewable Energy,DOE-EERE,02xznz413
Office of Intelligence and Counterintelligence,DOE-IN,02z1qvq09
Office of Nuclear Energy,DOE-NE,05tj7dm33
Office of Personnel Management,DOE-OPM,0566w5t03
Office of Science,DOE-SC,00mmn6b08
Office of Scienctific and Technical Information,DOE-OSTI,031478740
Office of Technology Transitions,DOE-OTT,02vg64e60
Scientific Discovery through Advanced Computing,SciDAC,---
United States Army Corps of Engineers,USACE,05w4e8v21
United States Geological Survey,USGS,035a68863
Workforce Development for Teachers and Scientists,WDTS,05msy3529
