Ames Laboratory,AL,041m9xr71
Argonne National Laboratory,ANL,05gvnxz63
Brookhaven National Laboratory,BNL,02ex6cf31
California Institute of Technology,Caltech,05dxps055
Duke University,Duke,00py81415
Electric Power Research Institute,EPRI,02dqztz06
Federal Institute of Espírito Santo,UFES,05sxf4h28
Fermi National Accelerator Laboratory,FNAL,020hgte69
Florida State University,FSU,05g3dte14
General Atomics,---,03ngjpk76
Georgia Insititute of Technology,Georgia Tech,01zkghx44
Georgia State University,GSU,03qt6ba18
Honeywell (United States),Honeywell,02t71h845
Idaho National Laboratory,INL,00ty2a548
Indiana University,IU,01kg8sb98
Illinois institute of Technology,IIT,037t3ry66
Intelligence Advanced Research Projects Activity,IARPA,---
Isotherm Inc,Isotherm,---
Jefferson Laboratory,JLAB,02vwzrd76
Johns Hopkins University,JHU,00za53h95
Kitware Inc,Kitware,02s2acn37
Los Alamos National Laboratory,LANL,01e41cf67
Lawrence Berkeley National Laboratory,LBNL,02jbv0t02
Lawrence Livermore National Laboratory,LLNL,041nk4h53
Massachusetts Insititute of Technology,MIT,042nb2s44
National Cancer Institute,NCI,040gcmg81
National Energy Technology Laboratory,NETL,01x26mz03
National Renewable Energy Laboratory,NREL,036266993
New Jersey Institute of Technology,NJIT,05e74xb87
New York University,NYU,0190ak572
North Carolina State University,NCSU,04tj63d06
Oak Ridge National Laboratory,ORNL,01qz5mb56
Ohio State University,OSU,00rs6vg23
Oregon State University,OSU,00ysfqy60
Pacific Northwest National Laboratory,PNNL,05h992307
Princeton University,Princeton,00hx57361
Princeton Plasma Physics Laboratory,PPPL,03vn1ts68
Purdue University West Lafayette,Purdue,02dqehb95
Qubitekk Inc,Qubitekk,0234ye373
RTI International,Research Triangle Institute,052tfza37
Savannah River National Laboratory,SRNL,05vc7qy59
Sandia National Laboratories,SNL,01apwpt12
SLAC National Accelerator Laboratory,SLAC,05gzmn429
Swiss Federal Insititute of Technology Zurich,ETH Zurich,05a28rw58
Texas A&M University,TAMU,01f5ytq51
University of California at Berkeley,UCB,01an7q238
University of California at Los Angeles,UCLA,046rm7j60
University of California at San Diego,UCSD,0168r3w48
University of Idaho,UI,03hbp5t65
University of Missouri,MU,02ymw8z06
University of Oklahoma,OU,02aqsxs83
University of Texas at Austin,UT Austin,00hj54h04
University of Illinois at Urbana-Champaign,UIUC,047426m28
University of Michigan Ann Arbor,UMich,00jmfr291
University of Minnesota Twin Cities,University of Minnesota,017zqws13
University of South Carolina,USC,02b6qw903
University of Southern California,USC,03taz7m60
University of Tennessee at Knoxville,UTK,020f3ap87
University of Utah,UU,03r0ha626
University of Wisconsin Madison,UW,01y2jtd41
Virginia Polytechnic Institute and State University,Virginia Tech,02smfhw86
